address,token_address,total_pnl,realized_pnl,roi,unrealized_pnl,unrealized_roi,win_rate,wins,losses,total_volume,total_trades,avg_trade_size,is_bot,avg_profit_per_trade,loss_rate,win_loss_ratio,profit_factor,volume_per_trade,persona,persona_confidence,validation_passed,quality_score,prob_Elite Sniper,prob_Whale,prob_Consistent Performer,prob_Scalper,prob_Momentum Trader,prob_Risk-Taker,prob_Developing Trader,profitability_score,risk_adjusted_score,consistency_score,copy_trading_score,risk_category,qual_category
J9mnzdvz2yd3gPMq5pwNtcYPchHpKJaafEaAcksVc9Kf,4tk5kfz9fab3ytx9k1fiyssm7njfvayseg32dqcj82t4,59802.0,-19685.0,-4.64,9036.9,2.13,33.33,35.0,70.0,832000.0,728,1100.0,0,-27.039835164835164,0.09615384615384616,0.5,0.5,1142.857142857143,Unclassified,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,High Risk,
JALVG7jHzVCZQYRQtYA5LNmJbKdJ1dEY7Wviy2MMgUEp,2kuebor9p8e2yvgcund9ipmhgm9nl4pg11zeeoqvqzwg,333822.0,-30274.0,-14.53,10055.0,4.83,33.33,4.0,8.0,605000.0,113,5400.0,0,-267.91150442477874,0.07079646017699115,0.5,0.5,5353.982300884956,Risk-Taker,0.4344878333333333,True,0.4344878333333333,0.0,0.4684733912204515,0.0,0.0,0.0,0.5315266087795485,0.0,0.4698346666666667,0.15160442477876107,0.8,0.43686397743362837,High Risk,Medium
JBhVoSaXknLocuRGMUAbuWqEsegHA8eG1wUUNM2MBYiv,47anmr2xe2pe8t8rmcctugagvyqn5f4ecgyf9vfruzcv,-34929.0,-99402.0,-18.59,-7192.3,-1.35,9.28,9.0,88.0,995000.0,2600,378.0,0,-38.23153846153846,0.033846153846153845,0.10227272727272728,0.10227272727272728,382.6923076923077,Unclassified,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,High Risk,
JvVyK49vrcejnbbyQ3WeWYNRa9hZko3m7SJcF8ytpjP,6hfajiuutxfzefmdkqsnbvfe6i95nh2wuvj5dwmf7gtw,26250.0,-259.04,-0.31,-4854.2,-5.86,16.67,1.0,5.0,177000.0,51,3500.0,0,-5.079215686274511,0.09803921568627451,0.2,0.2,3470.5882352941176,Risk-Taker,0.2183008333333333,True,0.2183008333333333,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.2504266666666667,0.09574603921568628,0.506,0.2519245617647059,High Risk,Low
Kv7wCWkSEMtQAh7zoHGpXQp7GzTpSK9m8iQL9qC7jWZ,48hfmdnyynuat6r2tdtp2ljan3rcpoypai3pakvzefte,-27198.0,-49668.0,-32.86,1925.1,1.27,22.73,20.0,68.0,273000.0,432,633.0,0,-114.97222222222223,0.1574074074074074,0.29411764705882354,0.29411764705882354,631.9444444444445,Unclassified,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,High Risk,
KxPytBLACghxztSz6RwAWeMb2johpCBbLzfJBGZqyWV,hqsunyltoccw42ghpj8miszn2ztggadfp44k8quylofh,7163.4,6634.4,23.87,5620.2,20.22,50.0,5.0,5.0,55000.0,38,1400.0,0,174.5894736842105,0.13157894736842105,1.0,1.0,1447.3684210526317,Developing Trader,0.32381584999999996,True,0.32381584999999996,0.0,0.0,0.0,0.0,0.4967254783042314,0.0,0.5032745216957686,0.3366022666666667,0.28872947368421054,0.628,0.37924133377192987,High Risk,Low
KYSGYZp17p7hGsoTJRB4ffy3dpu5M6Xi77YKvB9Z4hs,5ux2hmjjmuwxynsisoicbqfd9mkos3uckqhdgqwprdsk,52555.0,9109.0,6.62,-1251.9,-0.91,37.84,28.0,46.0,321000.0,336,955.0,0,27.110119047619047,0.13690476190476192,0.6086956521739131,0.6086956521739131,955.3571428571429,Unclassified,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,High Risk,
kZQ7Wpfgoy8pXGBTuWUiRFmrtqRLzx4LjE43qSG95zQ,9gjtvvwdcbw4zhx7nxcgct62ff7cbnfvcetvsbkttayb,18026.0,3523.0,27.69,-580.17,-4.56,57.14,4.0,3.0,35000.0,21,1600.0,0,167.76190476190476,0.14285714285714285,1.3333333333333333,1.3333333333333333,1666.6666666666667,Developing Trader,0.36276816666666667,True,0.36276816666666667,0.0,0.0,0.0,0.0,0.4887479056396235,0.0,0.5112520943603764,0.36321733333333334,0.3650547619047619,0.526,0.39628017857142855,High Risk,Low
L5tMyayK3t9MVxTZbDjKzTA9JWFAz2ffCZUXYjUKPgt,6wy9wxyct5a1mgyjixfnmi3swgnugzdjy75jepvsr2mg,16941.0,1131.8,12.3,-1.89,-0.02,26.32,5.0,14.0,35000.0,194,179.0,0,5.834020618556701,0.07216494845360824,0.35714285714285715,0.35714285714285715,180.41237113402062,Unclassified,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,High Risk,
Lena3TJKd4CQo2XSgneV8pNMkFex5rUbLXWb7dmN3Ea,7dvri3qjyd3uobszl3zth8vscgu6r6r2nvfsh7uvfdte,728.59,-15.18,-0.69,0.0,0.0,0.0,0.0,1.0,5100.0,4,1300.0,0,-3.795,0.25,0.0,0.0,1275.0,Unclassified,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,High Risk,
LuitxRGMJErT1N5JDArXVuxtsomBUsLZHf9Yf1TVBBn,dmu6p74f6qkrdnd83ryxy5r6szbhgpxfzwbc5dthepff,214257.0,-660.04,-0.44,-11698.0,-7.81,28.81,17.0,42.0,452000.0,696,650.0,0,-0.9483333333333333,0.0603448275862069,0.40476190476190477,0.40476190476190477,649.4252873563219,Unclassified,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,High Risk,
M9zithUetHT3DmEvPj5e8R9zGSmWtmmjZPceU8efwoJ,edpqmvu9okrtnkn8k3tvqwpew6uadexbemdpn7y3hvs2,111152.0,12307.0,4.36,3300.9,1.17,34.55,95.0,180.0,646000.0,2400,264.0,0,5.127916666666667,0.075,0.5277777777777778,0.5277777777777778,269.1666666666667,Unclassified,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,High Risk,
NknwcmKBLBgy5cZhgFneZRmH4Pd4Z2NGVaDEUayh83y,8q1yvtrv5wlt8gacj83idppw2rrxetwamhjxszvo4pvd,13193.0,4277.7,3.63,38.91,0.03,49.02,50.0,52.0,247000.0,729,339.0,0,5.867901234567901,0.07133058984910837,0.9615384615384616,0.9615384615384616,338.82030178326477,Unclassified,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,High Risk,
NySm3reJgAH6rwqfsd631dXkKvQenPfc6Sfwj6dYLck,7vbqtbxevphssw3iuebvczrqo322jnjujun6scdcxr6t,5655.2,2287.8,23.87,0.0,0.0,100.0,1.0,0.0,25000.0,101,246.0,0,22.651485148514855,0.0,1.0,1.0,247.52475247524754,Elite Sniper,0.48640048712871287,True,0.48640048712871287,0.5275988408018637,0.0,0.0,0.4724011591981362,0.0,0.0,0.0,0.4355968,0.28113257425742577,0.96,0.49921854099009905,Low Risk,Medium
oRQDjo2rXuDZ97E3WXLJBgzv8YfimPNS1n6MG4H6AJk,8ngjonmzwid3dg31nkzhawajbts1urxggebkztskbxsd,10613.0,242.34,0.39,0.0,0.0,26.87,18.0,49.0,135000.0,243,555.0,0,0.9972839506172839,0.20164609053497942,0.3673469387755102,0.3673469387755102,555.5555555555555,Unclassified,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,High Risk,
oUmL5oAyanU22Nsa5W7Pv5U9aAtizhVDGH7WDxCtxDp,7plwmfkbjwc1zmfhulxeynvcwfwxtw7karcjyrq7yl9k,23162.0,21293.0,35.82,-2474.7,-4.16,42.86,9.0,12.0,134000.0,123,1100.0,0,173.1138211382114,0.0975609756097561,0.75,0.75,1089.4308943089432,Momentum Trader,0.31621024254742547,True,0.31621024254742547,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.34892133333333336,0.23115569105691056,0.92,0.42453626490514906,Medium-High Risk,Low
P1WDVRYebEmoYbKrSbwKGHj9fKTE6vyYsmWQSdpt2uz,9gjtvvwdcbw4zhx7nxcgct62ff7cbnfvcetvsbkttayb,27297.0,-1754.3,-8.42,-533.24,-2.56,42.86,3.0,4.0,63000.0,29,2200.0,0,-60.49310344827586,0.13793103448275862,0.75,0.75,2172.4137931034484,Developing Trader,0.26962091666666665,True,0.26962091666666665,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.29269133333333336,0.21947534482758618,0.49400000000000005,0.3086812284482759,High Risk,Low
PCFLA3zTFRNtXfrcac5sFoiJkxf2anDzTYcGRweChLJ,frhb8l7y9qq41qzxyltc2nw8an1rjfllxrf2x9rwllmo,107053.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,107000.0,6,18000.0,0,0.0,0.0,0.0,0.0,17833.333333333332,Risk-Taker,0.35839425,True,0.35839425,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.2713686666666667,0.049999999999999996,0.23600000000000002,0.2065868916666667,High Risk,Low
