"wallet_address","token_address","gross_profit","realized_profit","realized_profit_percent","unrealized_profit","unrealized_profit_percent","win_rate","wins","losses","trade_volume","trades","avg_trade_size","is_bot"
"4bEEZHmTy6eRuVTe6GsabKTuQBCMwpf25bebvjSac7hf",hiz4zzettqbqiucswhk6hxxnvm6k7q6x1xhabax1jww2,45197.00,7747.40,7.65,-1.31,0.00,57.45,27,20,242000.00,444,546.00,0
"4EcqC2Bj68nmjBK6zSHkgV6UWpPyQ5TfBxbowxxwXYvV","2r8ukqj5acyw4g54vccgnwfbhyctjheyztzevwwueqdm",2213.30,-1267.20,-3.86,-277.48,-0.84,35.00,7,13,67000.00,251,268.00,0
"4ERo1c8PsPwz4YUgMd3k9f2tBvcwp1SvoyLWwLJooesd","7dvri3qjyd3uobszl3zth8vscgu6r6r2nvfsh7uvfdte",47462.00,0.00,0.00,0.00,0.00,0.00,0,0,47000.00,23,2100.00,0
"4GQeEya6ZTwvXre4Br6ZfDyfe2WQMkcDz2QbkJZazVqS",b4vwozy1fgtp8selxsxydwszavpugnj77durv2k4mhuv,14022508.00,-1439283.00,-2.38,1318593.00,2.18,27.69,18,47,129000000.00,361000,357.00,1
"4GqqekeipTCvwftxoBoGzGWb9eBNjWTu8XFESCccBhYQ","9vix1vducteoc2wertsp2tudxxpwaf69aeet8enpjpsn",422336.00,-3796.80,-14.42,0.00,0.00,0.00,0,1,475000.00,35,14000.00,0
"4HqNJu7fLwus6vaXQUXzjFQB6yWg23NzohKWrXhB5oDa","8ztfxjfpfvutef4slsapcfj8gw2dxyua9no2blpq7h7v",254518.00,0.00,0.00,0.00,0.00,0.00,0,0,255000.00,1,255000.00,0
"4hTRVzCZZWbJmNVHXekc6zUFsycPAAvFxo1bjDr1AGE1","22wrmytj8x2trvqen3fxxi2r4rn6jdhwomtpssmn8rud",89674.00,-6897.10,-8.43,2279.90,2.79,25.00,1,3,227000.00,25,9100.00,0
"4ir5BVjCq3NNAt7cN9YLS7ATVmdHrgB89GDawNuWVTvD",bmsze6tkzyskys1patpkryyazgdxwfxdia4buvlg9agy,84347.00,0.00,0.00,0.00,0.00,0.00,0,0,84000.00,22,3800.00,0
"4KCL7WrRN8ac1qJv4VVeh3pXsrAXSBK7GKrrGDtKREPC","7rnh8h2bhutyympxyxjwphh2ks7dx7kaan2t7yse8ymr",17174.00,17174.00,61.62,0.00,0.00,20.00,2,8,73000.00,55,1300.00,0
"4kguEV9YRtxuMiUJicpiUQ1itMxosEba4BHCfUTZJP3H","5wnu5qhdprgrl37ffcd6tmmqzugqgxwafgz477rshthy",276532.00,-19348.00,-27.20,-11199.00,-15.74,0.00,0,4,389000.00,47,8300.00,0
"4moNehYumMbuwX47EPSegupiH4hRFeXBJvNk1rs6WWb3",nn9vmhjtqgg9l9f8sp3geufwc5zvuhradcwehh7n7di,160923.00,4217.70,14.39,819.79,2.80,50.00,5,5,210000.00,66,3200.00,0
